macrozona;nombre;marca;codigo;n;precio_compra_prom;precio_compra_std;margen_error_compra;precio_compra_sup;precio_compra_inf;perc_error_compra;precio_venta_prom;precio_venta_std;margen_error_venta;precio_venta_sup;precio_venta_inf;perc_error_venta
MACROZONA_4;QUESAVILLAS PANCHO VILLA 200G;PANCHO VILLA;7,8021E+12;21;723.81;112.49;48.11;771.92;675.7;6.647;1044.24;147.55;63.11;1107.35;981.13;6.043
MACROZONA_4;PICKLES SURTIDOS DON JUAN 200 G;DON JUAN;7,80235E+12;13;665.31;186.37;101.31;766.62;564.0;15.228;1093.85;164.04;89.17;1183.02;1004.67;8.152
MACROZONA_4;TORTILLAS FUEGO AJI LIMON TAKIS 280G;BARCEL;7,57528E+11;3;1225.33;95.42;107.98;1333.31;1117.35;8.812;1696.67;95.04;107.55;1804.22;1589.11;6.339
MACROZONA_4;SALSA BBQ MARCO POLO 270 GR.;MARCO POLO;7,80242E+12;18;1023.28;153.33;70.83;1094.11;952.44;6.922;1555.50;110.23;50.92;1606.42;1504.58;3.274
MACROZONA_4;AJI PEBRE DON JUAN PET 240 G;DON JUAN;7,80235E+12;9;609.56;77.24;50.46;660.02;559.09;8.279;1014.44;105.37;68.84;1083.29;945.6;6.786
MACROZONA_4;BROWNIE FUCHS 50 GR, CHIPS CHOCOLATE;FUCHS;7,80348E+12;30;307.23;33.93;12.14;319.38;295.09;3.952;476.60;48.7;17.43;494.03;459.17;3.656
MACROZONA_4;CHOCOLATE BARRA PRESTIGIO 35 GR;PRESTIGIO;7,80223E+12;51;318.67;44.39;12.18;330.85;306.48;3.824;488.61;63.84;17.52;506.13;471.09;3.586
MACROZONA_4;MERMELADA LIGHT DURAZNO WATT'S 250 G;MARCA DUMMY;7,80281E+12;15;784.20;84.37;42.7;826.9;741.5;5.445;1118.67;98.19;49.69;1168.36;1068.98;4.442
MACROZONA_4;MERMELADA MORA DIET 250 G;MARCA DUMMY;7,80281E+12;17;755.59;214.04;101.75;857.34;653.84;13.466;1081.71;241.3;114.71;1196.41;967.0;10.604
MACROZONA_4;MERMELADA DURAZNO BOLA 250 G;MARCA DUMMY;7,80281E+12;70;756.81;88.15;20.65;777.46;736.16;2.729;1075.09;139.38;32.65;1107.74;1042.43;3.037
MACROZONA_4;MERMELADA FRUTILLA BOLSA 250 G;MARCA DUMMY;7,80281E+12;61;766.16;111.98;28.1;794.26;738.06;3.668;1107.74;146.92;36.87;1144.61;1070.87;3.328
MACROZONA_4;MERMELADA FRAMBUESA BOLSA 250 G;MARCA DUMMY;7,80281E+12;21;767.38;72.83;31.15;798.53;736.23;4.059;1115.24;126.08;53.93;1169.16;1061.31;4.835
MACROZONA_4;LECHE NATURAL COLUN SIN TAPA 1 L;COLUN;7,80292E+12;88;775.47;69.86;14.6;790.06;760.87;1.882;1061.11;90.9;18.99;1080.11;1042.12;1.79
MACROZONA_4;GALLETAS TRITÓN RELLENAS VAINILLA MCKAY, 126 G;TRITON;7,80223E+12;105;455.83;54.45;10.42;466.24;445.41;2.285;688.74;81.52;15.59;704.34;673.15;2.264
MACROZONA_4;GALLETAS TRITÓN RELLENAS CHOCOLATE MCKAY, 126 G;TRITON;7,80223E+12;71;435.25;86.8;20.19;455.44;415.06;4.639;682.76;70.77;16.46;699.22;666.3;2.411
MACROZONA_4;GALLETAS MINI MOROCHA MCKAY,50 G;MOROCHA;7,61303E+12;70;201.93;30.68;7.19;209.12;194.74;3.559;310.20;40.97;9.6;319.8;300.6;3.094
MACROZONA_4;GALLETAS MARAVILLA MCKAY, 147 G;MCKAY;7,61303E+12;46;484.09;64.08;18.52;502.6;465.57;3.825;710.65;76.29;22.05;732.7;688.61;3.102
MACROZONA_4;MCKAY GALLETA NIZA, 150 GR.;MCKAY;7,61303E+12;53;484.00;55.35;14.9;498.9;469.1;3.079;713.94;69.0;18.58;732.52;695.37;2.602
