"macrozona","nombre","marca","codigo","n","precio_compra_prom","precio_compra_std","margen_error_compra","precio_compra_sup","precio_compra_inf","perc_error_compra","precio_venta_prom","precio_venta_std","margen_error_venta","precio_venta_sup","precio_venta_inf","perc_error_venta"
MACROZONA_4,PASTA PARA UNO ESPIRALES BOLOGNESA CAROZZI 70 GR,CAROZZI,"7802575015570",30,551.70,85.63,30.64,582.34,521.06,5.554,832.57,91.82,32.86,865.42,799.71,3.946
MACROZONA_4,PICADO NESTLÉ NATURNES CARNE CON VERDURAS FRASCO 215G,NESTLÉ NATURNES,"7802950003543",53,1126.02,156.87,42.23,1168.25,1083.78,3.751,1630.15,168.87,45.46,1675.61,1584.69,2.789
MACROZONA_4,PICADO NESTLÉ NATURNES POLLO CON VERDURAS FRASCO 215G,NESTLÉ NATURNES,"7802950003550",52,1105.83,206.82,56.22,1162.04,1049.61,5.084,1618.58,166.54,45.27,1663.84,1573.31,2.797
MACROZONA_4,COLADO NESTLÉ NATURNES POLLO VERDURAS FRASCO 215G,NESTLÉ NATURNES,"7613030264088",71,1091.31,147.46,34.3,1125.61,1057.01,3.143,1577.49,123.3,28.68,1606.17,1548.81,1.818
MACROZONA_4,"LECHE DESCREMADA SOPROLE CON TAPA, 1 LT",SOPROLE,"7802900001346",36,745.42,105.91,34.6,780.01,710.82,4.641,1092.19,112.71,36.82,1129.01,1055.38,3.371
MACROZONA_4,LECHE CHOCOLATE SOPROLE SIN TAPA 1 L,SOPROLE,"7802900050078",95,928.78,83.44,16.78,945.56,912.0,1.807,1293.18,104.55,21.02,1314.2,1272.16,1.626
MACROZONA_4,LECHE DESCREMADA SIN LACTOSA SOPROLE 1 L,SOPROLE,"7802900048013",28,860.21,63.5,23.52,883.73,836.69,2.734,1217.29,81.48,30.18,1247.47,1187.11,2.479
MACROZONA_4,LECHE BCA SEMI DESCREMADA LONCO LECHE 1 L,LONCO LECHE,"7802910007260",13,716.54,105.5,57.35,773.89,659.19,8.004,1007.69,77.58,42.17,1049.87,965.52,4.185
MACROZONA_4,CAFÉ NESCAFÉ TRADICIÓN 50G,NESCAFÉ,"7802950002119",91,1254.19,195.31,40.13,1294.32,1214.06,3.2,1788.98,169.1,34.74,1823.72,1754.23,1.942
MACROZONA_4,CAFÉ GOLD DESCAFEINADO 50 G,GOLD,"7802800501830",2,1595.50,64.35,89.18,1684.68,1506.32,5.589,2120.00,98.99,137.2,2257.2,1982.8,6.472
MACROZONA_4,PASTELERA VAN COOK 76G CREMA,VAN COOK,"7802800563210",16,407.75,80.44,39.42,447.17,368.33,9.667,673.75,109.72,53.76,727.51,619.99,7.98
MACROZONA_4,NESCAFE FINA SELECCION 50 GR,NESCAFÉ,"8801055709229",10,1240.00,360.57,223.48,1463.48,1016.52,18.023,2014.80,317.8,196.97,2211.77,1817.83,9.776
MACROZONA_4,SUPER CALO POLVO 120 G,CALO,"7802910003699",8,643.88,75.84,52.56,696.43,591.32,8.163,927.38,68.46,47.44,974.81,879.94,5.115
MACROZONA_4,"CAFÉ ECCO, 100% CEREAL, LATA 170 G",ECCO,"7802950002324",16,1277.19,199.04,97.53,1374.72,1179.66,7.636,1850.63,223.44,109.49,1960.11,1741.14,5.916
MACROZONA_4,"LECHE ENTERA NATURAL SOPROLE CON TAPA, 1 LT",SOPROLE,"7802900001308",109,762.65,95.66,17.96,780.61,744.69,2.355,1052.33,95.25,17.88,1070.21,1034.45,1.699
MACROZONA_4,GALLETAS OREO ORIGINAL 126 G,OREO,"7622210661982",73,435.59,64.68,14.84,450.43,420.75,3.406,704.07,84.62,19.41,723.48,684.66,2.757
MACROZONA_4,AGUA MAS MANZANA 1.6 L,MAS,"7801620006624",54,808.65,101.83,27.16,835.81,781.49,3.359,1177.35,124.21,33.13,1210.48,1144.22,2.814
MACROZONA_4,AGUA SABORIZADA MAS MANZANA-DURAZNO SIN GAS 1.6 L,MAS,"7801620007621",18,850.00,90.91,42.0,892.0,808.0,4.941,1155.50,113.64,52.5,1208.0,1103.0,4.544
